,Year,Month,temperature_2m_mean_Atlanta
0,2018,10,62.38709677419355
1,2018,11,51.00666666666667
2,2018,12,43.92903225806452
3,2019,1,37.645161290322584
4,2019,2,47.471428571428575
5,2019,3,54.858064516129026
6,2019,4,60.06333333333334
7,2019,5,66.52580645161291
8,2019,6,75.99333333333334
9,2019,7,79.20645161290322
10,2019,8,77.70322580645161
11,2019,9,73.01333333333334
12,2019,10,62.564516129032256
13,2019,11,51.736666666666665
14,2019,12,54.12903225806452
15,2020,1,43.60322580645161
16,2020,2,43.6448275862069
17,2020,3,55.41290322580645
18,2020,4,60.86
19,2020,5,70.25806451612904
20,2020,6,74.83
21,2020,7,78.51935483870967
22,2020,8,80.52580645161291
23,2020,9,76.21666666666667
24,2020,10,61.961290322580645
25,2020,11,46.769999999999996
26,2020,12,57.141935483870974
27,2021,1,46.406451612903226
28,2021,2,41.51428571428572
29,2021,3,58.141935483870974
30,2021,4,60.95666666666667
31,2021,5,74.25806451612904
32,2021,6,77.20666666666666
33,2021,7,78.34193548387097
34,2021,8,79.84193548387097
35,2021,9,75.76333333333334
36,2021,10,64.8
37,2021,11,48.943333333333335
38,2021,12,43.50967741935484
39,2022,1,53.13548387096775
40,2022,2,49.175000000000004
41,2022,3,48.54516129032258
42,2022,4,63.89666666666667
43,2022,5,69.40645161290323
44,2022,6,75.56
45,2022,7,78.91935483870968
46,2022,8,83.23548387096774
47,2022,9,71.95
48,2022,10,65.83870967741936
49,2022,11,51.39
50,2022,12,40.58709677419355
51,2023,1,40.11612903225806
52,2023,2,45.81428571428571
53,2023,3,54.461290322580645
54,2023,4,60.52333333333333
55,2023,5,73.22258064516129
56,2023,6,77.10666666666665
57,2023,7,79.92903225806452
58,2023,8,79.87741935483871
59,2023,9,75.02333333333333
