,Year,Month,temperature_2m_mean_Dallas
0,2018,10,69.46129032258065
1,2018,11,57.36333333333334
2,2018,12,46.75806451612903
3,2019,1,44.70645161290323
4,2019,2,50.94642857142857
5,2019,3,56.88387096774194
6,2019,4,63.66
7,2019,5,74.03225806451613
8,2019,6,83.01666666666667
9,2019,7,89.02903225806452
10,2019,8,82.30322580645162
11,2019,9,77.18666666666667
12,2019,10,68.55806451612904
13,2019,11,58.266666666666666
14,2019,12,52.10967741935484
15,2020,1,37.193548387096776
16,2020,2,47.293103448275865
17,2020,3,61.10645161290322
18,2020,4,66.69333333333333
19,2020,5,70.0516129032258
20,2020,6,76.83666666666666
21,2020,7,88.01935483870967
22,2020,8,91.71290322580644
23,2020,9,78.81
24,2020,10,76.30322580645162
25,2020,11,56.75
26,2020,12,57.49354838709677
27,2021,1,43.34516129032258
28,2021,2,50.964285714285715
29,2021,3,61.39677419354839
30,2021,4,67.81666666666666
31,2021,5,81.01935483870967
32,2021,6,83.43666666666667
33,2021,7,87.94516129032259
34,2021,8,88.97096774193548
35,2021,9,84.59333333333333
36,2021,10,74.86451612903227
37,2021,11,56.17999999999999
38,2021,12,49.42580645161291
39,2022,1,53.458064516129035
40,2022,2,51.896428571428565
41,2022,3,58.86774193548387
42,2022,4,68.43333333333334
43,2022,5,73.40967741935484
44,2022,6,82.87666666666668
45,2022,7,87.34516129032258
46,2022,8,89.8258064516129
47,2022,9,82.25666666666666
48,2022,10,72.52258064516128
49,2022,11,56.32
50,2022,12,48.31612903225806
51,2023,1,44.92580645161291
52,2023,2,52.46071428571429
53,2023,3,61.55483870967742
54,2023,4,64.53333333333333
55,2023,5,73.47419354838709
56,2023,6,79.90666666666667
57,2023,7,83.64838709677419
58,2023,8,84.38064516129033
59,2023,9,79.87333333333332
