,Year,Month,temperature_2m_mean_Houston
0,2018,10,73.14516129032258
1,2018,11,61.64
2,2018,12,52.73225806451613
3,2019,1,50.270967741935486
4,2019,2,57.76428571428572
5,2019,3,64.2483870967742
6,2019,4,68.09
7,2019,5,75.87741935483871
8,2019,6,83.55
9,2019,7,85.52258064516128
10,2019,8,84.58387096774193
11,2019,9,80.52333333333333
12,2019,10,71.76774193548388
13,2019,11,63.75666666666667
14,2019,12,60.55483870967742
15,2020,1,46.66129032258065
16,2020,2,54.199999999999996
17,2020,3,65.87741935483871
18,2020,4,68.71666666666667
19,2020,5,74.87096774193549
20,2020,6,81.03
21,2020,7,84.91935483870968
22,2020,8,87.02258064516128
23,2020,9,79.72333333333333
24,2020,10,78.01612903225806
25,2020,11,60.723333333333336
26,2020,12,68.47096774193548
27,2021,1,51.567741935483866
28,2021,2,53.78214285714286
29,2021,3,67.31612903225808
30,2021,4,70.45666666666666
31,2021,5,79.99354838709678
32,2021,6,82.71000000000001
33,2021,7,84.35806451612903
34,2021,8,85.35806451612903
35,2021,9,84.48
36,2021,10,77.59677419354838
37,2021,11,60.02333333333333
38,2021,12,57.461290322580645
39,2022,1,62.329032258064515
40,2022,2,58.528571428571425
41,2022,3,62.012903225806454
42,2022,4,71.17666666666668
43,2022,5,76.34516129032258
44,2022,6,81.8
45,2022,7,85.08064516129032
46,2022,8,84.88064516129033
47,2022,9,82.43333333333334
48,2022,10,76.24193548387096
49,2022,11,63.95666666666667
50,2022,12,54.54838709677419
51,2023,1,49.75806451612903
52,2023,2,58.79642857142857
53,2023,3,65.6741935483871
54,2023,4,70.27666666666667
55,2023,5,76.28064516129032
56,2023,6,80.72333333333333
57,2023,7,80.97096774193548
58,2023,8,81.66451612903225
59,2023,9,80.83666666666666
