,Year,Month,temperature_2m_mean_Las Vegas
0,2018,10,73.75806451612904
1,2018,11,59.19666666666667
2,2018,12,43.277419354838706
3,2019,1,44.274193548387096
4,2019,2,47.089285714285715
5,2019,3,54.97741935483871
6,2019,4,64.39
7,2019,5,78.66129032258064
8,2019,6,82.94666666666667
9,2019,7,93.53225806451613
10,2019,8,90.3967741935484
11,2019,9,83.70333333333333
12,2019,10,67.65483870967742
13,2019,11,61.663333333333334
14,2019,12,45.07741935483871
15,2020,1,36.42903225806452
16,2020,2,48.93448275862069
17,2020,3,57.55483870967742
18,2020,4,70.96333333333334
19,2020,5,81.35483870967742
20,2020,6,88.34666666666666
21,2020,7,94.94516129032259
22,2020,8,92.34193548387097
23,2020,9,83.9
24,2020,10,73.79354838709678
25,2020,11,58.79
26,2020,12,42.435483870967744
27,2021,1,42.4483870967742
28,2021,2,55.07142857142857
29,2021,3,57.28064516129032
30,2021,4,71.22333333333333
31,2021,5,78.01290322580645
32,2021,6,89.22666666666667
33,2021,7,94.56451612903226
34,2021,8,90.62258064516129
35,2021,9,86.19333333333334
36,2021,10,73.1741935483871
37,2021,11,57.88666666666666
38,2021,12,47.958064516129035
39,2022,1,48.53225806451613
40,2022,2,53.207142857142856
41,2022,3,60.50322580645161
42,2022,4,67.03333333333333
43,2022,5,73.45806451612903
44,2022,6,86.55333333333333
45,2022,7,91.90645161290323
46,2022,8,90.43870967741935
47,2022,9,83.02
48,2022,10,71.94193548387096
49,2022,11,57.25666666666667
50,2022,12,48.58709677419355
51,2023,1,47.99677419354839
52,2023,2,51.63928571428572
53,2023,3,61.067741935483866
54,2023,4,63.03666666666666
55,2023,5,72.35483870967742
56,2023,6,85.38333333333334
57,2023,7,94.81290322580645
58,2023,8,92.19032258064516
59,2023,9,82.65666666666667
