,Year,Month,temperature_2m_mean_New_York
0,2018,10,54.49677419354839
1,2018,11,45.2
2,2018,12,39.538709677419355
3,2019,1,31.9741935483871
4,2019,2,30.510714285714283
5,2019,3,42.55483870967742
6,2019,4,53.47666666666667
7,2019,5,58.68387096774194
8,2019,6,69.69
9,2019,7,76.16774193548386
10,2019,8,75.29354838709678
11,2019,9,68.74
12,2019,10,56.9483870967742
13,2019,11,45.163333333333334
14,2019,12,44.50967741935484
15,2020,1,27.45483870967742
16,2020,2,25.63103448275862
17,2020,3,42.309677419354834
18,2020,4,51.24333333333333
19,2020,5,62.932258064516134
20,2020,6,71.62333333333332
21,2020,7,77.5
22,2020,8,75.36451612903227
23,2020,9,72.36
24,2020,10,54.86129032258064
25,2020,11,44.63333333333333
26,2020,12,43.725806451612904
27,2021,1,34.13225806451613
28,2021,2,24.97142857142857
29,2021,3,46.4741935483871
30,2021,4,51.276666666666664
31,2021,5,64.04516129032258
32,2021,6,71.81666666666666
33,2021,7,78.60967741935484
34,2021,8,77.39354838709677
35,2021,9,71.17
36,2021,10,57.306451612903224
37,2021,11,46.14333333333333
38,2021,12,34.145161290322584
39,2022,1,36.31612903225806
40,2022,2,37.86785714285714
41,2022,3,37.064516129032256
42,2022,4,52.00666666666667
43,2022,5,58.68387096774194
44,2022,6,69.12333333333332
45,2022,7,76.23225806451612
46,2022,8,78.08064516129032
47,2022,9,66.46666666666667
48,2022,10,55.96451612903226
49,2022,11,44.72666666666667
50,2022,12,37.693548387096776
51,2023,1,33.00967741935484
52,2023,2,30.5
53,2023,3,40.141935483870974
54,2023,4,49.31333333333334
55,2023,5,65.7290322580645
56,2023,6,69.36666666666666
57,2023,7,81.2741935483871
58,2023,8,77.20967741935483
59,2023,9,67.01666666666667
