,Year,Month,temperature_2m_mean_San Francisco
0,2018,10,60.36451612903225
1,2018,11,56.85
2,2018,12,49.832258064516125
3,2019,1,49.903225806451616
4,2019,2,49.23571428571428
5,2019,3,53.900000000000006
6,2019,4,58.24666666666667
7,2019,5,58.6741935483871
8,2019,6,59.91
9,2019,7,61.29354838709677
10,2019,8,67.2258064516129
11,2019,9,65.82
12,2019,10,62.21290322580645
13,2019,11,57.99
14,2019,12,49.28709677419355
15,2020,1,43.229032258064514
16,2020,2,52.293103448275865
17,2020,3,51.71612903225807
18,2020,4,59.61333333333334
19,2020,5,59.25806451612903
20,2020,6,58.17333333333333
21,2020,7,63.54516129032258
22,2020,8,66.83870967741936
23,2020,9,61.21666666666667
24,2020,10,59.63225806451613
25,2020,11,57.05
26,2020,12,44.854838709677416
27,2021,1,46.34838709677419
28,2021,2,54.050000000000004
29,2021,3,50.403225806451616
30,2021,4,52.626666666666665
31,2021,5,57.91935483870968
32,2021,6,62.193333333333335
33,2021,7,62.26129032258064
34,2021,8,63.33870967741935
35,2021,9,64.07333333333334
36,2021,10,60.76129032258064
37,2021,11,55.29666666666667
38,2021,12,47.309677419354834
39,2022,1,51.00322580645161
40,2022,2,51.93214285714286
41,2022,3,55.358064516129026
42,2022,4,52.583333333333336
43,2022,5,55.96774193548387
44,2022,6,60.57666666666667
45,2022,7,62.73870967741936
46,2022,8,60.81290322580645
47,2022,9,61.38
48,2022,10,61.04838709677419
49,2022,11,54.11333333333334
50,2022,12,51.29032258064516
51,2023,1,52.20967741935484
52,2023,2,52.09285714285714
53,2023,3,54.274193548387096
54,2023,4,53.89333333333333
55,2023,5,56.512903225806454
56,2023,6,56.776666666666664
57,2023,7,62.019354838709674
58,2023,8,67.39677419354838
59,2023,9,65.35666666666667
